,title,overview,popularity,vote_count,original_language,vote_average,release_date
0,Halloween Ends,2022-10-12,3931.896,494,en,6.8,2022-10-12
1,Black Adam,2022-10-19,3666.165,187,en,7.5,2022-10-19
2,Orphan: First Kill,2022-07-27,2702.602,1066,en,6.8,2022-07-27
3,Project Gemini,2022-01-06,2482.114,115,en,5.5,2022-01-06
4,Jeepers Creepers: Reborn,2022-09-15,3405.759,300,en,5.8,2022-09-15
5,Fall,2022-08-11,2254.254,1492,en,7.4,2022-08-11
6,Bullet Train,2022-07-03,2190.841,1892,en,7.5,2022-07-03
7,Fullmetal Alchemist: The Final Alchemy,2022-06-24,2057.746,94,ja,6.4,2022-06-24
8,Hocus Pocus 2,2022-09-27,2092.036,806,en,7.7,2022-09-27
9,Athena,2022-09-09,1881.005,291,fr,6.6,2022-09-09
10,Secret Headquarters,2022-08-12,1839.598,113,en,6.8,2022-08-12
11,The Infernal Machine,2022-09-23,1699.341,86,en,7.0,2022-09-23
12,Batman and Superman: Battle of the Super Sons,2022-10-17,1657.408,94,en,8.2,2022-10-17
13,Grimcutty,2022-10-10,1648.537,137,en,5.8,2022-10-10
14,Restart The Earth,2022-08-04,1926.274,45,zh,6.8,2022-08-04
15,Lou,2022-09-23,1316.507,293,en,6.6,2022-09-23
16,Togo,2022-10-05,1299.499,41,es,6.7,2022-10-05
17,Pinocchio,2022-09-07,1393.95,948,en,6.7,2022-09-07
18,Beast,2022-08-11,1219.133,692,en,7.0,2022-08-11
19,Monster High: The Movie,2022-10-06,1270.486,99,en,7.1,2022-10-06
